observation_id,sku_adi,marka,uretici,mensei,bolge,urun_tipi,uzum_blend,vintage,hacim_ml,abv_pct,raf_fiyati,para_birimi,kdv_durumu,fiyat_katmani,kanal,kanal_tipi,magaza,sehir,gozlem_tarihi,gozlem_yontemi,promosyon_var_mi,normal_fiyat,ithalatci_distributor,foto_url,kaynak_url,status,evidence_id,supersedes,collecting_agent,notes
OBS-545,Vinkara Minoj,Vinkara,Vinkara,Turkiye,UNKNOWN,Rose Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,780.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,780.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-minoj,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-546,Diren Selection Beyaz,Diren,Diren,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,790.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,790.00,YERLI URETICI,,https://iyisarap.plus/products/diren-selection-beyaz,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-547,Barel Cabernet Sauvignon & Merlot,Barel Vineyards,Barel Vineyards,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,790.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,790.00,YERLI URETICI,,https://iyisarap.plus/products/barel-cabernet-sauvignon-merlot,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-548,Doluca Klasik,Doluca,Doluca,Turkiye,UNKNOWN,Sarap,UNKNOWN,UNKNOWN,375,UNKNOWN,480.00,TRY,UNKNOWN,UNKNOWN,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-01-15,UCUNCU_TARAF,UNKNOWN,UNKNOWN,YERLI URETICI,,https://akademikpersonel.org/metro-alkol-fiyatlari/,UNKNOWN,EV-2026-08-09-512,,turkiye-pazar-kasifi,"T5 icerik ciftligi listesi, birincil kaynak yok, tarih 15.01.2026. MODELE GIREMEZ. Sadece yerli fiyat baskisi icin bant isareti."
OBS-549,Doluca Klasik,Doluca,Doluca,Turkiye,UNKNOWN,Sarap,UNKNOWN,UNKNOWN,750,UNKNOWN,630.00,TRY,UNKNOWN,UNKNOWN,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-01-15,UCUNCU_TARAF,UNKNOWN,UNKNOWN,YERLI URETICI,,https://akademikpersonel.org/metro-alkol-fiyatlari/,UNKNOWN,EV-2026-08-09-512,,turkiye-pazar-kasifi,"T5 icerik ciftligi listesi, birincil kaynak yok, tarih 15.01.2026. MODELE GIREMEZ. Sadece yerli fiyat baskisi icin bant isareti."
OBS-550,Kavaklidere Okuzgozu,Kavaklidere,Kavaklidere,Turkiye,UNKNOWN,Sarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1100.00,TRY,UNKNOWN,UNKNOWN,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-01-15,UCUNCU_TARAF,UNKNOWN,UNKNOWN,YERLI URETICI,,https://akademikpersonel.org/metro-alkol-fiyatlari/,UNKNOWN,EV-2026-08-09-512,,turkiye-pazar-kasifi,"T5 icerik ciftligi listesi, birincil kaynak yok, tarih 15.01.2026. MODELE GIREMEZ. Sadece yerli fiyat baskisi icin bant isareti."
OBS-551,Sarafin Merlot,Sarafin (Doluca),Sarafin (Doluca),Turkiye,UNKNOWN,Sarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1400.00,TRY,UNKNOWN,UNKNOWN,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-01-15,UCUNCU_TARAF,UNKNOWN,UNKNOWN,YERLI URETICI,,https://akademikpersonel.org/metro-alkol-fiyatlari/,UNKNOWN,EV-2026-08-09-512,,turkiye-pazar-kasifi,"T5 icerik ciftligi listesi, birincil kaynak yok, tarih 15.01.2026. MODELE GIREMEZ. Sadece yerli fiyat baskisi icin bant isareti."
OBS-552,Grand Reserve Bogazkere,Grand Reserve,Grand Reserve,Turkiye,UNKNOWN,Sarap,UNKNOWN,UNKNOWN,750,UNKNOWN,570.00,TRY,UNKNOWN,UNKNOWN,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-01-15,UCUNCU_TARAF,UNKNOWN,UNKNOWN,YERLI URETICI,,https://akademikpersonel.org/metro-alkol-fiyatlari/,UNKNOWN,EV-2026-08-09-512,,turkiye-pazar-kasifi,"T5 icerik ciftligi listesi, birincil kaynak yok, tarih 15.01.2026. MODELE GIREMEZ. Sadece yerli fiyat baskisi icin bant isareti."
OBS-551,"Imperial Vin ""Grape Angel"" Cabernet Sauvignon & Feteasca Neagra",Imperial Vin,UNKNOWN,Moldova,UNKNOWN,Yarı Tatlı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,512.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN (kod: PiyasaGida),-,https://iyisarap.plus/products/imperial-vin-grape-angel-cabernet-sauvignon-feteasca-neagra,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-552,"Imperial Vin ""Grape Angel"" Merlot & Rara Neagra",Imperial Vin,UNKNOWN,Moldova,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,512.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN (kod: PiyasaGida),-,https://iyisarap.plus/products/imperial-vin-grape-angel-merlot-rara-neagra,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-553,Imperial Vin Amphora Reserve Cabernet Sauvignon,Imperial Vin,UNKNOWN,Moldova,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,512.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN (kod: PiyasaGida),-,https://iyisarap.plus/products/imperial-vin-amphora-reserve-cabernet-sauvignon,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-554,Imperial Vin Amphora Reserve Merlot,Imperial Vin,UNKNOWN,Moldova,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,512.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN (kod: PiyasaGida),-,https://iyisarap.plus/products/imperial-vin-amphora-reserve-merlot,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-555,Itynera Grillo,MGM Mondo del Vino,UNKNOWN,Italya,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,528.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Karagozoglu Dis Ticaret AS (FACT-dogrulandi),-,https://iyisarap.plus/products/itynera-grillo,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-556,Itynera Nero d'Avola,MGM Mondo del Vino,UNKNOWN,Italya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,528.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Karagozoglu Dis Ticaret AS (FACT-dogrulandi),-,https://iyisarap.plus/products/itynera-nero-davola,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-557,Château du Monthil,Jean Guyon,UNKNOWN,Fransa,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,529.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/chateau-du-monthil,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-558,Blush by Moncigale,Moncigale,UNKNOWN,Fransa,UNKNOWN,Rose Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,548.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Kavaklidere Saraplari AS (FACT-dogrulandi),-,https://iyisarap.plus/products/blush-by-moncigale,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-559,Château d'Esclans Rock Angel,Chateau d'Esclans,UNKNOWN,Fransa,UNKNOWN,Rose Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,578.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/chateau-desclans-rock-angel,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-560,Tallero Prosecco,Tallero,UNKNOWN,Italya,UNKNOWN,Prosecco,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,600.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/tallero-prosecco-di-treviso-frizzante,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-561,Marques de Casa Concha Cabernet Sauvignon,Concha y Toro,UNKNOWN,Sili,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,664.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/marques-de-casa-concha-cabernet-sauvignon,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-562,Marques de Casa Concha Merlot,Concha y Toro,UNKNOWN,Sili,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,664.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/marques-de-casa-concha-merlot,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-563,Cavicchioli Lambrusco Bianco,Cavicchioli,UNKNOWN,Italya,UNKNOWN,Doğal Köpüklü,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,670.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN (kod: ADT),-,https://iyisarap.plus/products/cavicchioli-lambrusco-bianco,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-564,Serena 1881 Più Frizzante,Serena 1881,UNKNOWN,Italya,UNKNOWN,Prosecco,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,675.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Kavaklidere Saraplari AS (FACT-dogrulandi),-,https://iyisarap.plus/products/serena-1881-piu-frizzante,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-565,Santa Helena Chardonnay,Santa Helena,UNKNOWN,Sili,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,677.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Kavaklidere Saraplari AS (FACT-dogrulandi),-,https://iyisarap.plus/products/santa-helena-chardonnay,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-566,Santa Helena Sauvignon Blanc,Santa Helena,UNKNOWN,Sili,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,677.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Kavaklidere Saraplari AS (FACT-dogrulandi),-,https://iyisarap.plus/products/santa-helena-sauvignon-blanc,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-567,M. Chapoutier Belleruche,M. Chapoutier,UNKNOWN,Fransa,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,680.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Kavaklidere Saraplari AS (FACT-dogrulandi),-,https://iyisarap.plus/products/belleruche-cotes-du-rhone,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-568,Babich Pinot Noir,Babich,UNKNOWN,Yeni Zelanda,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,697.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/babich-pinot-noir,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-569,Hans Baer Pinot Noir,Hans Baer,UNKNOWN,Almanya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,702.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Baron Sarapcilik (ESTIMATE),-,https://iyisarap.plus/products/hans-baer-pinot-noir,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-570,"Cavicchioli  ""Blanc de Noir"" Lambrusco",Cavicchioli,UNKNOWN,Italya,UNKNOWN,Doğal Köpüklü,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,732.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN,-,https://iyisarap.plus/products/cavicchioli-blanc-de-noir-lambrusco,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-571,Attems Pinot Grigio,Attems,UNKNOWN,Italya,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,740.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/attems-pinot-grigio,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-572,Château Edmus Saint-Emilion Grand Cru,Château Edmus,UNKNOWN,Fransa,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,743.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Kavaklidere Saraplari AS (FACT-dogrulandi),-,https://iyisarap.plus/products/chateau-edmus-saint-emilion-grand-cru,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-573,Tallero Frizzante,Tallero,UNKNOWN,Italya,UNKNOWN,Prosecco,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,743.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/tallero-frizzante,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-574,Henkell Trocken,Henkell,UNKNOWN,Almanya,UNKNOWN,Doğal Köpüklü,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,746.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Adco Gida / Kemer Gida (ESTIMATE),-,https://iyisarap.plus/products/henkell-trocken,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-575,La Larme D'or Chablis,J.L. Quinson,UNKNOWN,Fransa,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,755.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,Baron Sarapcilik (ESTIMATE),-,https://iyisarap.plus/products/la-larme-dor-chablis,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-576,Les Allees du Vignoble Petit Chablis,Le Domaine d'Henri,UNKNOWN,Fransa,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,770.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN,-,https://iyisarap.plus/products/les-allees-du-vignoble-petit-chablis,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-577,Terra Mater Reserve Cabernet & Carmenere,Terra Mater,UNKNOWN,Sili,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,770.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN,-,https://iyisarap.plus/products/terra-mater-reserve-cabernet-carmenere,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
OBS-578,"Zonin 1821 Prosecco ""Vino Spumante Brut"" 37.5 cl",Zonin 1821,UNKNOWN,Italya,UNKNOWN,Prosecco,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,775.00,TRY,UNKNOWN,UNKNOWN,iyisarap.plus,ONLINE,-,-,2026-08-10,ONLINE_LISTING_STOKTA_YOK,UNKNOWN,UNKNOWN,UNKNOWN (kod: ADT),-,https://iyisarap.plus/products/zonin-1821-prosecco-vino-spumante-brut-375,UNKNOWN,EV-2026-08-10-552,,turkiye-pazar-kasifi,STOKTA DEGIL (available=false). BU BIR RAF FIYATI DEGILDIR - satin alinamayan katalog listeleme fiyatidir. MODELE GIREMEZ. C-501/C-561 kapsaminda. ithalatci_distributor alani perakendecinin IC ETIKETINDEN turetilmistir (ESTIMATE).
